has cambiado mi vida me has hecho crecer es que no soy el mismo de ayer,estan lloviendo estrellas alrededor de mi ,amanecer sin ti es cosa de locos,la reina de la noche la diosa del vudu yo no podre salvarme,hay tanto que inventar no hay nada que fingir,
dime si hay que ser torero poner el elma en el ruedo,y ahora tu te vas asi como si nada, provocame mujer atrevete provocame,lo dejaria todo por que te quedaras,tu la misma de ayer la incondicional,entregate aun no te siento,
me viste asi de frente que tremendo impacto,pa que sepas que te quiero como un buen torero,has cambiado mi vida me has hecho crecer,es que este amor es azul como el mar azul,si nos quedara poco tiempo,si no estas conmigo quedo entre la nada,

